setid,"Temperature, K",Mole fraction of propan-1-ol,Mole fraction of 1-methyl-3-octylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Vnhfn,298.2,0.1749,0.3,101.3,1.473,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.1872,0.25,101.3,1.463,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.2035,0.19,101.3,1.453,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.2123,0.15,101.3,1.4455,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.225,0.1,101.3,1.439,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.3533,0.29,101.3,1.4715,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.3746,0.25,101.3,1.4635,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.3991,0.2,101.3,1.458,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.4246,0.15,101.3,1.4445,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.4497,0.1,101.3,1.4315,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.5246,0.3,101.3,1.476,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.5622,0.25,101.3,1.4715,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.6108,0.19,101.3,1.4645,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.6366,0.15,101.3,1.451,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,298.2,0.6746,0.1,101.3,1.5,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,308.2,0.1749,0.3,101.3,1.47,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,308.2,0.1872,0.25,101.3,1.4615,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,308.2,0.2035,0.19,101.3,1.4505,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
Vnhfn,308.2,0.2123,0.15,101.3,1.444,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,
