setid,"MolaLity of benzyltributylammonium chloride, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mnGrH,0.001,298.15,101.3,1.3324,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.001,308.15,101.3,1.332,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.001,318.15,101.3,1.3311,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.003,298.15,101.3,1.3333,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.003,308.15,101.3,1.3322,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.003,318.15,101.3,1.3314,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.005,298.15,101.3,1.3336,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.005,308.15,101.3,1.3326,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
mnGrH,0.005,318.15,101.3,1.3317,Roy et al. (2024),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,,,,
