setid,Mole fraction of pentan-2-ol,Mole fraction of hexane,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lhQSm,0.1499,0.81,303.15,100,1.38334,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.16,0.1199,303.15,100,1.48186,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.1854,0.791,303.15,100,1.39001,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.2387,0.7475,303.15,100,1.40102,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.2597,0.3001,303.15,100,1.46115,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.2763,0.6986,303.15,100,1.41001,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.2801,0.1799,303.15,100,1.4699,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.2999,0.5801,303.15,100,1.42885,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.306,0.3521,303.15,100,1.45501,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.3099,0.6229,303.15,100,1.422,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.3201,0.45,303.15,100,1.44268,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
lhQSm,0.3249,0.535,303.15,100,1.43403,Montalban et al. (2018b),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane,
