setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jANvu,283.15,100,0.25,1.4923,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,288.15,100,0.25,1.4908,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,293.15,100,0.25,1.4894,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,298.15,100,0.25,1.488,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,303.15,100,0.25,1.4865,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,308.15,100,0.25,1.4849,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,313.15,100,0.25,1.4836,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,318.15,100,0.25,1.4821,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,323.15,100,0.25,1.4807,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,328.15,100,0.25,1.4792,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,333.15,100,0.25,1.4778,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,338.15,100,0.25,1.4763,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
jANvu,343.15,100,0.25,1.4749,Basaiahgari et al. (2018),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,,
