setid,Weight fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KdssD,0.0088,293.15,100,1.5183,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,298.15,100,1.5168,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,303.15,100,1.5155,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,308.15,100,1.5142,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,313.15,100,1.5132,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,318.15,100,1.5121,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,323.15,100,1.5108,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0088,328.15,100,1.5093,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0101,293.15,100,1.5184,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
KdssD,0.0101,298.15,100,1.5169,Fang et al. (2014),Refractive index,Liquid,ABFdeu,CCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-pentyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,,
