setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kqftj,298.15,0.0302,101.3,1.3413,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.0597,101.3,1.3526,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.1011,101.3,1.3665,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.1992,101.3,1.3878,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.301,101.3,1.403,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.4023,101.3,1.4144,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.4995,101.3,1.4212,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.6524,101.3,1.4316,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.7993,101.3,1.4365,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
kqftj,298.15,0.8988,101.3,1.4398,Xu et al. (2012b),Refractive index,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
