setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bfhBZ,298.15,0,101,1.43,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.1249,101,1.4239,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.2084,101,1.4206,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.3046,101,1.4176,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.4124,101,1.4151,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.4763,101,1.414,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.5565,101,1.413,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.717,101,1.412,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.7826,101,1.4118,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
bfhBZ,298.15,0.901,101,1.4115,Ciocirlan et al. (2014),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
