setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
arCyj,298,0,101.3,1.397,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.041,101.3,1.403,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.219,101.3,1.424,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.417,101.3,1.442,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.571,101.3,1.454,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.731,101.3,1.464,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,0.909,101.3,1.475,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,298,1,101.3,1.48,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,303,0,101.3,1.395,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,303,0.041,101.3,1.401,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,303,0.219,101.3,1.422,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,303,0.417,101.3,1.44,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
arCyj,303,0.571,101.3,1.452,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,,
