setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jegwy,0.1051,101,298.15,1.3823,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.2047,101,298.15,1.3926,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.2633,101,298.15,1.3972,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.3037,101,298.15,1.4,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.3291,101,298.15,1.4014,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.3985,101,298.15,1.4052,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.5021,101,298.15,1.4097,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.598,101,298.15,1.413,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.7168,101,298.15,1.4164,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.8155,101,298.15,1.4184,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
jegwy,0.8848,101,298.15,1.4198,Iglesias-Otero et al. (2007),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
