setid,"MolaRity of 1-butyl-3-methylimidazolium chloride, mol/dm3","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CLjZj,0,101,298.15,1.3324,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.0065,101,298.15,1.3335,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.0175,101,298.15,1.334,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.0623,101,298.15,1.3355,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.2916,101,298.15,1.3415,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.5933,101,298.15,1.345,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,0.9422,101,298.15,1.3579,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,1.4728,101,298.15,1.3765,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,1.8793,101,298.15,1.3896,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,2.47901,101,298.15,1.4103,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,2.9207,101,298.15,1.4213,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,3.5479,101,298.15,1.4402,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,4.6339,101,298.15,1.476,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
CLjZj,5.5017,101,298.15,1.5121,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
