setid,Mole fraction of propanal,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QCLRc,0,96,298.15,1.4817,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.077,96,298.15,1.4789,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.1702,96,298.15,1.4768,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.2146,96,298.15,1.473,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.3671,96,298.15,1.4641,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.4184,96,298.15,1.4627,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.5246,96,298.15,1.4532,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.616,96,298.15,1.4467,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.7074,96,298.15,1.4369,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.8104,96,298.15,1.426,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.9022,96,298.15,1.41,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,0.9521,96,298.15,1.3854,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
QCLRc,1,96,298.15,1.3648,Alvarez et al. (2011),Refractive index,Liquid,AALIno,CCC=O,propanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
