setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yghGE,293.15,0,101.3,1.58547,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.0989,101.3,1.54858,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.1792,101.3,1.52524,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.2896,101.3,1.5029,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.3924,101.3,1.48888,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.5062,101.3,1.47605,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.6042,101.3,1.46653,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.6986,101.3,1.45781,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.7974,101.3,1.44845,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,293.15,0.8962,101.3,1.43908,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0,101.3,1.5824,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.0989,101.3,1.54665,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.1792,101.3,1.52423,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.2896,101.3,1.50175,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.3924,101.3,1.48757,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.5062,101.3,1.47505,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.6042,101.3,1.46575,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.6986,101.3,1.4574,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.7974,101.3,1.44825,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,298.15,0.8962,101.3,1.43825,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0,101.3,1.5796,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0.0989,101.3,1.54529,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0.1792,101.3,1.52322,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0.2896,101.3,1.50085,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0.3924,101.3,1.48696,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
yghGE,303.15,0.5062,101.3,1.47455,Master and Malek (2021a),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AARvIf,Nc1ccccc1,aniline,,,,
