setid,Mole fraction of dichloromethane,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QUXQb,0,101.3,298.15,1.43024,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.0301,101.3,298.15,1.4302,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.1024,101.3,298.15,1.43014,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.1412,101.3,298.15,1.43011,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.2765,101.3,298.15,1.42998,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.3243,101.3,298.15,1.4299,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.4846,101.3,298.15,1.42961,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.536,101.3,298.15,1.42948,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.694,101.3,298.15,1.42886,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.7854,101.3,298.15,1.42827,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.8916,101.3,298.15,1.42664,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,0.943,101.3,298.15,1.42489,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
QUXQb,1,101.3,298.15,1.42103,Gonzalez et al. (2012a),Refractive index,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
