setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ySvgd,288.15,0,101,1.33071,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.04981,101,1.35401,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.10059,101,1.37019,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.1503,101,1.38187,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.2002,101,1.39131,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.25165,101,1.39849,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.30177,101,1.40415,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.39768,101,1.41297,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.49902,101,1.41931,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
ySvgd,288.15,0.59106,101,1.42382,Vercher et al. (2010b),Refractive index,Liquid,AAGIBL,CO,methanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
