setid,Weight fraction of 1-hexyl-3-methylimidazolium chloride,Weight fraction of potassium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cdOqH,0,0.2792,101,298.15,1.35915,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.062,0.2049,101,298.15,1.36666,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.1316,0.1565,101,298.15,1.37629,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.2063,0.1184,101,298.15,1.3852,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.2831,0.0928,101,298.15,1.39585,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.3602,0.0765,101,298.15,1.40427,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.4388,0.0625,101,298.15,1.41883,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.5197,0.0482,101,298.15,1.42837,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.6018,0.0357,101,298.15,1.4377,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.6852,0.0239,101,298.15,1.45053,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
cdOqH,0.7689,0.0143,101,298.15,1.47159,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
