setid,Weight fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jamkm,0.00599,288.15,101,1.4998,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,293.15,101,1.4982,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,298.15,101,1.4964,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,303.15,101,1.4946,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,308.15,101,1.4927,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,313.15,101,1.4911,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,318.15,101,1.4899,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,323.15,101,1.4882,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00599,328.15,101,1.4864,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,288.15,101,1.499,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,293.15,101,1.4973,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,298.15,101,1.4955,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,303.15,101,1.4936,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,308.15,101,1.4918,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,313.15,101,1.49,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,318.15,101,1.4888,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,323.15,101,1.487,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.00903,328.15,101,1.4852,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,288.15,101,1.4982,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,293.15,101,1.4965,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,298.15,101,1.4946,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,303.15,101,1.4927,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,308.15,101,1.4907,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
jamkm,0.012,313.15,101,1.4891,Zhao et al. (2021b),Refractive index,Liquid,ABDNsG,COCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-(4-methoxybutyl)-3-methylimidazolium L-threoninate,AADYJk,O,water,,,,
