setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LcWnY,298.15,0,100,1.4254,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.1,100,1.4284,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.2056,100,1.4308,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.3064,100,1.4325,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.3986,100,1.434,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.4904,100,1.4349,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.5981,100,1.4356,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.6945,100,1.4359,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.7795,100,1.4362,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
LcWnY,298.15,0.9015,100,1.4365,Suneetha et al. (2017b),Refractive index,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AAXFpT,COCCOCCO,2-(2-methoxyethoxy)ethanol,,,,
