setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OkYfx,0.0947,297.159,101,632.8,1.4328,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.0947,298.494,101,632.8,1.4325,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.0947,300.002,101,632.8,1.4321,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.0947,301.525,101,632.8,1.4317,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.0947,303.058,101,632.8,1.4313,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.0947,305.125,101,632.8,1.4308,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.194,299.596,101,632.8,1.4289,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.194,301.079,101,632.8,1.4285,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.194,302.17,101,632.8,1.4282,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
OkYfx,0.194,304.128,101,632.8,1.4276,Lv et al. (2010),Refractive index,Liquid,AAOgLD,OCCCO,"propan-1,3-diol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
