setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XEDrG,0.0526,101,298.15,1.50583,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.1412,101,298.15,1.50427,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.2445,101,298.15,1.50193,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.3233,101,298.15,1.49986,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.4174,101,298.15,1.49685,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.4972,101,298.15,1.49329,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.588,101,298.15,1.48806,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.6975,101,298.15,1.47838,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.7928,101,298.15,1.46398,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.9005,101,298.15,1.42959,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,0.9484,101,298.15,1.39796,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
XEDrG,1,101,298.15,1.33251,Gonzalez et al. (2008d),Refractive index,Liquid,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
