setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ioFkS,293.15,0,101,1.36138,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.0198,101,1.36597,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.2033,101,1.39358,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.312,101,1.40092,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.3897,101,1.40471,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.5002,101,1.40893,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.5982,101,1.41163,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.6961,101,1.41394,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.7902,101,1.41562,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.9033,101,1.41784,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,0.992,101,1.41884,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,293.15,1,101,1.41923,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0,101,1.35929,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.0198,101,1.36482,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.0465,101,1.37109,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.0991,101,1.38024,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.2033,101,1.3921,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.312,101,1.39964,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.3897,101,1.40388,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.5002,101,1.4081,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.5982,101,1.41098,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.6961,101,1.41313,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
ioFkS,298.15,0.7902,101,1.41472,Pereiro and Rodriguez (2007b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
