setid,Mole fraction of propan-1-ol,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ipoKo,0.0375,0.9551,101,298.15,1.35204,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0384,0.946,101,298.15,1.36098,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0422,0.929,101,298.15,1.37367,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0474,0.9071,101,298.15,1.38662,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0559,0.8764,101,298.15,1.40006,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0662,0.8408,101,298.15,1.41152,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0813,0.9039,101,298.15,1.3667,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0826,0.782,101,298.15,1.42504,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0901,0.8825,101,298.15,1.37757,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0961,0.1388,101,298.15,1.47318,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
ipoKo,0.0962,0.4557,101,298.15,1.46221,Gonzalez et al. (2008c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
