setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NNjnA,0,101,298.15,1.51051,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.1484,101,298.15,1.5076,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.203,101,298.15,1.50625,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.4076,101,298.15,1.49957,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.5334,101,298.15,1.49329,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.6807,101,298.15,1.48143,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.8185,101,298.15,1.45934,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.8803,101,298.15,1.44036,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.9307,101,298.15,1.41432,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,0.9635,101,298.15,1.38658,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
NNjnA,1,101,298.15,1.33251,Calvar et al. (2007b),Refractive index,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
