setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cTgLT,293.15,101.325,1.45248,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,,,,
cTgLT,303.15,101.325,1.44976,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,,,,
cTgLT,313.15,101.325,1.44706,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,,,,
cTgLT,323.15,101.325,1.44425,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,,,,,
