setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zijwy,284.591,0.01,623.8,1.4096,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,285.292,0.01,623.8,1.4093,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,286.127,0.012,623.8,1.4091,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,286.889,0.013,623.8,1.4088,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,287.648,0.015,623.8,1.4086,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,288.254,0.016,623.8,1.4084,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,288.918,0.016,623.8,1.4081,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,289.539,0.019,623.8,1.408,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,290.07,0.021,623.8,1.4079,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
zijwy,290.614,0.021,623.8,1.4077,Zhang et al. (2015c),Refractive index,Liquid mixture 1,Liquid mixture 2,,47,AAQxVB,CCCC(C)O,pentan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,
