setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
YXjmq,288.15,0,101,1.5547,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.0241,101,1.5545,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.0674,101,1.5543,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.0927,101,1.5542,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.1351,101,1.554,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.1854,101,1.5538,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.2329,101,1.5536,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.2865,101,1.5534,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.3194,101,1.5533,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,288.15,0.3505,101,1.5532,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0,101,1.5534,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.0241,101,1.5532,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.0674,101,1.553,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.0927,101,1.5529,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.1351,101,1.5527,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.1854,101,1.5525,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.2329,101,1.5523,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.2865,101,1.5521,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.3194,101,1.552,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,293.15,0.3505,101,1.5519,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0,101,1.5524,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.0241,101,1.5522,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.0674,101,1.552,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.0927,101,1.5519,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.1351,101,1.5517,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.1854,101,1.5515,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.2329,101,1.5513,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.2865,101,1.5511,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.3194,101,1.551,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,298.15,0.3505,101,1.5509,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,303.15,0,101,1.5512,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,303.15,0.0241,101,1.551,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,303.15,0.0674,101,1.5508,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,303.15,0.0927,101,1.5507,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
YXjmq,303.15,0.1351,101,1.5505,Shekaari et al. (2016b),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,,,,
