setid,Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
NuJKW,0,293.744,100,1.3941,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,294.715,100,1.3938,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,296.907,100,1.3929,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,298.032,100,1.3924,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,299.208,100,1.392,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,301.515,100,1.391,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,302.71,100,1.3905,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0,304.021,100,1.3901,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0.035,304.181,100,1.3936,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0.035,305.116,100,1.3933,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
NuJKW,0.035,306.135,100,1.3929,Chen et al. (2021a),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AAONwS,CC(C)CO,2-methyl-1-propanol,,,,
