setid,Mole fraction of heptane,Mole fraction of benzene,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OVKei,0.0018,0.1519,313.15,101,1.50258,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0018,0.39,313.15,101,1.50368,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0022,0.0467,313.15,101,1.50191,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0032,0.2923,313.15,101,1.50315,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0035,0.2482,313.15,101,1.50287,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0041,0.0487,313.15,101,1.50169,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0049,0.1979,313.15,101,1.50248,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.005,0.2991,313.15,101,1.50305,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0051,0.2465,313.15,101,1.50289,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0058,0.1002,313.15,101,1.50202,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0069,0.1452,313.15,101,1.5022,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0085,0.2005,313.15,101,1.50229,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0087,0.1005,313.15,101,1.50204,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0089,0.1493,313.15,101,1.50206,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0107,0.0481,313.15,101,1.50139,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
OVKei,0.0114,0.0989,313.15,101,1.50202,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AATOnt,CCCCCCC,heptane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
