setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QUBHz,0.05,101,298.15,1.4676,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.0997,101,298.15,1.4606,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.1477,101,298.15,1.4546,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.1977,101,298.15,1.4491,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.2995,101,298.15,1.4396,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.3524,101,298.15,1.4361,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.3997,101,298.15,1.4331,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.4328,101,298.15,1.4309,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.5018,101,298.15,1.4278,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.598,101,298.15,1.4226,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.7043,101,298.15,1.4182,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.7812,101,298.15,1.4158,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
QUBHz,0.893,101,298.15,1.4125,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
