setid,Mole fraction of 1-allyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
WzceG,0.000171,298.15,101,1.3329,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.000362,298.15,101,1.333,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.000553,298.15,101,1.3333,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.000754,298.15,101,1.3336,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.001151,298.15,101,1.334,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.001575,298.15,101,1.3346,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.002478,298.15,101,1.336,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.003359,298.15,101,1.3375,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.004859,298.15,101,1.34,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.006386,298.15,101,1.3421,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.008102,298.15,101,1.3452,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.009949,298.15,101,1.347,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.011785,298.15,101,1.3495,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.01373,298.15,101,1.352,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.017654,298.15,101,1.3574,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.021561,298.15,101,1.3635,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.025652,298.15,101,1.3676,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.02973,298.15,101,1.373,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.033936,298.15,101,1.3775,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.044424,298.15,101,1.3888,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.055355,298.15,101,1.3995,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.066464,298.15,101,1.4084,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.078572,298.15,101,1.4176,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.091376,298.15,101,1.4315,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.11428,298.15,101,1.4464,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.136948,298.15,101,1.4574,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.161616,298.15,101,1.4673,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.186711,298.15,101,1.4742,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
WzceG,0.211044,298.15,101,1.4831,Wu et al. (2010),Refractive index,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,
