setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
btPsz,288.15,0,100,1.47276,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.0915,100,1.48161,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.1857,100,1.48772,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.2805,100,1.49359,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.3657,100,1.49762,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.4679,100,1.50098,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.57,100,1.5037,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.6779,100,1.50593,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.79,100,1.50791,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,0.8959,100,1.50953,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,288.15,1,100,1.5089,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,293.15,0,100,1.47053,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,293.15,0.0915,100,1.47958,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
btPsz,293.15,0.1857,100,1.48578,Bai et al. (2016c),Refractive index,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
