setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AaWNg,308.15,0.6323,100,1.4206,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,308.15,0.737,100,1.4191,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,308.15,0.782,100,1.4222,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,308.15,0.9024,100,1.422,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.0913,100,1.4066,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.2028,100,1.4174,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.3029,100,1.4193,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.4371,100,1.4192,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.5324,100,1.419,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.6323,100,1.4191,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.737,100,1.4201,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.782,100,1.4208,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
AaWNg,313.15,0.9024,100,1.4205,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
