setid,Mole fraction of ethyl acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kYuce,0,101,288.15,1.4599,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.0719,101,288.15,1.4566,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.1039,101,288.15,1.456,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.1973,101,288.15,1.4519,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.3111,101,288.15,1.4452,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.3986,101,288.15,1.4405,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.4946,101,288.15,1.4336,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.5971,101,288.15,1.4255,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.7005,101,288.15,1.4158,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.8031,101,288.15,1.4041,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.9017,101,288.15,1.3911,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,0.9499,101,288.15,1.3836,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
kYuce,1,101,288.15,1.3746,Alvarez et al. (2012),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
