setid,Mole fraction of dimethyl carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bjlEz,0,298.15,101,1.41831,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.051,298.15,101,1.4176,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.1014,298.15,101,1.41675,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.1987,298.15,101,1.41501,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.2999,298.15,101,1.41282,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.4012,298.15,101,1.41049,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.5,298.15,101,1.40796,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.6005,298.15,101,1.40459,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.7007,298.15,101,1.39931,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.8003,298.15,101,1.39196,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,0.9,298.15,101,1.38162,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
bjlEz,1,298.15,101,1.36647,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
