setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LGvkR,0,298.15,101,1.3828,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.0098,298.15,101,1.38348,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.1298,298.15,101,1.3941,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.1454,298.15,101,1.39532,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.1989,298.15,101,1.39905,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.2988,298.15,101,1.40412,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.3995,298.15,101,1.40802,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.4975,298.15,101,1.41068,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.6052,298.15,101,1.41299,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.7019,298.15,101,1.41462,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.8014,298.15,101,1.41594,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.8997,298.15,101,1.41692,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,0.9498,298.15,101,1.4174,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
LGvkR,1,298.15,101,1.41787,Pereiro et al. (2006b),Refractive index,Liquid,AAWlFo,CCOC(=O)OCC,diethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
