setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
YeBxX,0,298.15,101,1.35881,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.0411,298.15,101,1.36891,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.0967,298.15,101,1.37917,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.2066,298.15,101,1.39227,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.288,298.15,101,1.39832,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.4075,298.15,101,1.40488,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.5423,298.15,101,1.4095,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.6247,298.15,101,1.4117,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.702,298.15,101,1.41331,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.8043,298.15,101,1.41503,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.9002,298.15,101,1.41652,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,0.9499,298.15,101,1.41723,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
YeBxX,1,298.15,101,1.41787,Pereiro et al. (2006b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
