setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DuBiJ,293.15,0.167,101,1.4781,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,293.15,0.2,101,1.4776,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,293.15,0.25,101,1.4802,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,303.15,0.167,101,1.4754,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,303.15,0.2,101,1.4747,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,303.15,0.25,101,1.4774,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,313.15,0.167,101,1.4726,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,313.15,0.2,101,1.4718,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,313.15,0.25,101,1.4745,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,323.15,0.167,101,1.4697,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,323.15,0.2,101,1.4687,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,323.15,0.25,101,1.4716,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,333.15,0.167,101,1.4668,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,333.15,0.2,101,1.4658,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,333.15,0.25,101,1.4685,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,343.15,0.167,101,1.4638,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,343.15,0.2,101,1.4626,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,343.15,0.25,101,1.4652,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,353.15,0.167,101,1.4607,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,353.15,0.2,101,1.4603,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
DuBiJ,353.15,0.25,101,1.462,Mjalli et al. (2014b),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
