setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QeNUC,293.15,0,101,1.39428,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.0956,101,1.40012,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.1919,101,1.40555,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.273,101,1.40899,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.3698,101,1.41222,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.4639,101,1.41432,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.5701,101,1.41616,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.6787,101,1.41768,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.7746,101,1.41841,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.8707,101,1.41937,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,0.9354,101,1.41972,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,293.15,1,101,1.42064,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0,101,1.39188,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0.0956,101,1.39835,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0.1919,101,1.40397,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0.273,101,1.40746,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0.3698,101,1.41064,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
QeNUC,298.15,0.4639,101,1.41299,Malek et al. (2014b),Refractive index,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
