setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
icjTP,100,308.15,1.48328,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,313.15,1.48188,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,318.15,1.48038,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,323.15,1.47873,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,328.15,1.47693,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,333.15,1.47525,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,338.15,1.47377,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,343.15,1.47242,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,348.15,1.47111,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
icjTP,100,353.15,1.46984,Lee et al. (2016),Refractive index,Liquid,ABlnPT,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,tetrabutylammonium 2-hydroxy-3-morpholinopropanesulfonate,,,,,,,
