setid,Mole fraction of pentanal,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RXyfb,0,96,298.15,1.4817,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.0792,96,298.15,1.4793,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.101,96,298.15,1.4788,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.2039,96,298.15,1.4759,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.3008,96,298.15,1.4718,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.4074,96,298.15,1.4672,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.5048,96,298.15,1.4621,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.6047,96,298.15,1.4554,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.7012,96,298.15,1.4486,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.8024,96,298.15,1.4403,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.897,96,298.15,1.431,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,0.9513,96,298.15,1.4231,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
RXyfb,1,96,298.15,1.396,Alvarez et al. (2011),Refractive index,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
