setid,"Temperature, K",Mole fraction of N-methyldiethanolamine,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kcGXT,293.15,0,81.5,1.50145,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,293.15,0.2,81.5,1.49634,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,293.15,0.4,81.5,1.49124,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,293.15,0.6,81.5,1.48705,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,293.15,0.8,81.5,1.47789,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,293.15,1,81.5,1.46966,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,0,81.5,1.49948,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,0.2,81.5,1.49399,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,0.4,81.5,1.4885,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,0.6,81.5,1.48426,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,0.8,81.5,1.47448,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,303.15,1,81.5,1.46557,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,313.15,0,81.5,1.49694,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,313.15,0.2,81.5,1.49136,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,313.15,0.4,81.5,1.48578,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
kcGXT,313.15,0.6,81.5,1.48145,Shojaeian et al. (2021),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
