setid,Mole fraction of propan-1-ol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AQbsA,0,298.15,101.3,1.50666,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.0863,298.15,101.3,1.50223,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.1279,298.15,101.3,1.5002,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.2201,298.15,101.3,1.49524,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.3243,298.15,101.3,1.48866,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.4177,298.15,101.3,1.48167,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.5126,298.15,101.3,1.47321,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.6093,298.15,101.3,1.4627,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.7176,298.15,101.3,1.44818,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.824,298.15,101.3,1.4297,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.8834,298.15,101.3,1.41684,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,0.9658,298.15,101.3,1.39459,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
AQbsA,1,298.15,101.3,1.3837,Calvar et al. (2009e),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,,
