setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
MWOTd,0,101,298.15,1.4209,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.0093,101,298.15,1.4213,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.0258,101,298.15,1.4218,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.0453,101,298.15,1.4223,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.0983,101,298.15,1.4234,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.2046,101,298.15,1.4241,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.2893,101,298.15,1.4238,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.3839,101,298.15,1.4226,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.4833,101,298.15,1.4208,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.6056,101,298.15,1.4183,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.7065,101,298.15,1.416,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.79,101,298.15,1.4138,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.8883,101,298.15,1.4114,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.9528,101,298.15,1.4101,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,0.9874,101,298.15,1.4091,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
MWOTd,1,101,298.15,1.4089,Singh and Kumar (2010),Refractive index,Liquid,AAiOSe,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
