setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zFdcQ,298.15,101,0.1334,1.46283,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,303.15,101,0.1334,1.46133,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,308.15,101,0.1334,1.45953,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,313.15,101,0.1334,1.45768,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,318.15,101,0.1334,1.45595,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,323.15,101,0.1334,1.45425,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,328.15,101,0.1334,1.45266,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,333.15,101,0.1334,1.45124,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,338.15,101,0.1334,1.44998,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,343.15,101,0.1334,1.44892,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,348.15,101,0.1334,1.44798,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
zFdcQ,353.15,101,0.1334,1.4471,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
