setid,"Temperature, K",Mole ratio to solvent: 3-amino-1-propanol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Ltqap,293.15,4,101.3,1.4736,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,293.15,6,101.3,1.4709,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,293.15,8,101.3,1.4695,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,298.15,4,101.3,1.4721,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,298.15,6,101.3,1.4693,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,298.15,8,101.3,1.4677,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,303.15,4,101.3,1.4706,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,303.15,6,101.3,1.4678,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,303.15,8,101.3,1.466,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,308.15,4,101.3,1.469,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,308.15,6,101.3,1.4662,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,308.15,8,101.3,1.4642,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,313.15,4,101.3,1.4673,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,313.15,6,101.3,1.4642,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Ltqap,313.15,8,101.3,1.4627,Nowosielski et al. (2020),Refractive index,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
