setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OsGOt,282.971,0.014,100,1.5558,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,282.971,0.099,100,1.5287,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,284.531,0.016,100,1.5545,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,284.531,0.094,100,1.5291,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,285.727,0.017,100,1.5534,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,285.727,0.091,100,1.5294,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,287.529,0.019,100,1.5516,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,287.529,0.086,100,1.53,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,288.417,0.021,100,1.5506,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
OsGOt,288.417,0.083,100,1.5304,Tao et al. (2016),Refractive index,Liquid,AAeKrl,Brc1ccccc1,bromobenzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
