setid,Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JPbQJ,0,0.214,101,298.15,1.3479,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.0671,0.1623,101,298.15,1.35951,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.1411,0.1192,101,298.15,1.37134,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.2172,0.0961,101,298.15,1.38259,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.2972,0.0721,101,298.15,1.39666,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.3798,0.0516,101,298.15,1.40995,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.4643,0.0338,101,298.15,1.42412,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.5483,0.0219,101,298.15,1.43936,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.6306,0.0158,101,298.15,1.45445,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.7118,0.0125,101,298.15,1.47072,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
JPbQJ,0.7927,0.0102,101,298.15,1.48569,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAlZDt,O=[N+]([O-])[O-].[Cs+],cesium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
