setid,"Temperature, K","MolaLity of L-asparagine, mol/kg","Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UzVsy,293.15,0.01,0.001,100,1.3325,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.01,0.003,100,1.3326,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.01,0.005,100,1.3328,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.025,0.001,100,1.3326,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.025,0.003,100,1.3328,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.025,0.005,100,1.333,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.04,0.001,100,1.3328,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.04,0.003,100,1.333,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.04,0.005,100,1.3332,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.055,0.001,100,1.333,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.055,0.003,100,1.3332,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.055,0.005,100,1.3334,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.07,0.001,100,1.3332,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.07,0.003,100,1.3334,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.07,0.005,100,1.3336,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.085,0.001,100,1.3334,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.085,0.003,100,1.3336,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,293.15,0.085,0.005,100,1.3339,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.01,0.001,100,1.3322,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.01,0.003,100,1.3324,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.01,0.005,100,1.3326,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.025,0.001,100,1.3324,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.025,0.003,100,1.3326,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
UzVsy,298.15,0.025,0.005,100,1.3327,Majumder et al. (2023),Refractive index,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
