setid,"MolaRity of 1-butyl-3-methylimidazolium bromide, mol/dm3","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CPxVQ,0,101,298.15,1.3324,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,0.7412,101,298.15,1.3601,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,1.29834,101,298.15,1.3773,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,2.9899,101,298.15,1.4375,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,3.42531,101,298.15,1.4514,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,4.1531,101,298.15,1.4775,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,4.6884,101,298.15,1.4991,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.0328,101,298.15,1.511,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.2494,101,298.15,1.5206,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.4234,101,298.15,1.526,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.5631,101,298.15,1.5307,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.6571,101,298.15,1.5327,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
CPxVQ,5.7409,101,298.15,1.5372,Liu et al. (2008),Refractive index,Liquid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,
