setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OvKCY,298.15,0.0105,101,1.33431,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0119,101,1.33458,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0209,101,1.33603,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0236,101,1.33648,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0314,101,1.33767,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0354,101,1.33844,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0419,101,1.33941,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0473,101,1.34041,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0523,101,1.34118,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0591,101,1.34243,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0627,101,1.34291,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0709,101,1.34443,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0732,101,1.34476,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0827,101,1.34648,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0836,101,1.34658,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0941,101,1.34821,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.0945,101,1.34847,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.1045,101,1.35001,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.1063,101,1.35061,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
OvKCY,298.15,0.1182,101,1.35261,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
