setid,Mole fraction of ethylammonium acetate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AhWus,0,298.15,101,1.3326,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.003,298.15,101,1.3352,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0103,298.15,101,1.3404,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0201,298.15,101,1.3461,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0315,298.15,101,1.3516,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.04,298.15,101,1.3575,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0498,298.15,101,1.3624,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0564,298.15,101,1.3672,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.07,298.15,101,1.3713,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.09,298.15,101,1.3782,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.0996,298.15,101,1.3819,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.1198,298.15,101,1.3871,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.1498,298.15,101,1.3939,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.2001,298.15,101,1.4038,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.3481,298.15,101,1.4163,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.6519,298.15,101,1.4294,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,0.7973,298.15,101,1.4317,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
AhWus,1,298.15,101,1.4345,Hou et al. (2013),Refractive index,Liquid,AADYJk,O,water,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,
