setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tmTBF,298.15,0.00614,100,1.5158,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,298.15,0.00766,100,1.5154,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,298.15,0.00917,100,1.5149,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,298.15,0.01069,100,1.5144,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,298.15,0.01217,100,1.514,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,303.15,0.00614,100,1.5145,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,303.15,0.00766,100,1.514,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,303.15,0.00917,100,1.5135,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,303.15,0.01069,100,1.5131,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
tmTBF,303.15,0.01217,100,1.5125,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,,
