setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
siopR,0.0616,298.15,101.3,1.4814,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.1053,298.15,101.3,1.4807,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.2113,298.15,101.3,1.4789,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.3038,298.15,101.3,1.4764,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.4034,298.15,101.3,1.4742,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.499,298.15,101.3,1.4709,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.6004,298.15,101.3,1.466,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.7038,298.15,101.3,1.4585,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.7993,298.15,101.3,1.4473,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.8999,298.15,101.3,1.425,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.9497,298.15,101.3,1.4058,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
siopR,0.9808,298.15,101.3,1.3801,Hwang et al. (2011a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
