setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium glycinate","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JZFaV,298.15,0,100,1.33683,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.1,100,1.4128,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.2004,100,1.44526,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.3,100,1.46189,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.3996,100,1.47212,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.5004,100,1.47832,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.6004,100,1.48292,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.6966,100,1.48593,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.8014,100,1.48885,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,0.8996,100,1.49064,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,298.15,1,100,1.49224,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0,100,1.33455,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.1,100,1.41184,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.2004,100,1.44412,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.3,100,1.4607,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.3996,100,1.47085,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.5004,100,1.47712,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.6004,100,1.48172,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.6966,100,1.48472,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
JZFaV,303.15,0.8014,100,1.48762,Alvarez et al. (2022),Refractive index,Liquid,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water,,,,
