setid,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TGaXD,324.423,109,632.8,1.3737,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.548,109,632.8,1.3734,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.674,109,632.8,1.373,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.774,109,632.8,1.3725,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.849,109,632.8,1.3722,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.908,109,632.8,1.3718,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,324.972,109,632.8,1.3715,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.027,109,632.8,1.3712,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.084,109,632.8,1.3709,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.118,109,632.8,1.3706,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.155,109,632.8,1.3703,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,325.181,109,632.8,1.3701,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
