setid,Weight fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wzRUN,0.008,100,313.15,1.42305,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.008,10200,313.15,1.42305,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.015,100,313.15,1.42222,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.015,10200,313.15,1.42222,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.032,100,313.15,1.41981,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.032,10200,313.15,1.41981,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.084,100,313.15,1.41301,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.084,10200,313.15,1.41301,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.156,100,313.15,1.40517,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.156,10200,313.15,1.40517,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.202,100,313.15,1.40056,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.202,10200,313.15,1.40056,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.385,100,313.15,1.38611,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.385,10200,313.15,1.38611,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.48,100,313.15,1.37983,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
wzRUN,0.48,10200,313.15,1.37983,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
