setid,"Temperature, K",Mole fraction of toluene,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
awKug,293.15,0,100,1.4267,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.0942,100,1.429,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.1943,100,1.4319,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.29,100,1.4353,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.3938,100,1.4397,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.493,100,1.4447,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.5961,100,1.4509,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.6986,100,1.4583,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,0.7993,100,1.4674,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
awKug,293.15,1,100,1.4962,Warmiska and Cichowska-Kopczyska (2020),Refractive index,Liquid,AARlpN,Cc1ccccc1,toluene,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,,
