setid,Mole fraction of hexane,Mole fraction of benzene,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sjDWN,0.0018,0.333,313.15,101,1.50331,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.004,0.2452,313.15,101,1.50286,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0059,0.1983,313.15,101,1.5026,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0074,0.2457,313.15,101,1.50287,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0102,0.3677,313.15,101,1.50311,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0105,0.2705,313.15,101,1.50261,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0105,0.3176,313.15,101,1.50288,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.011,0.0224,313.15,101,1.50162,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0114,0.2176,313.15,101,1.50241,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0116,0.1658,313.15,101,1.50223,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0118,0.1189,313.15,101,1.50202,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0129,0.0981,313.15,101,1.50207,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0133,0.0469,313.15,101,1.5017,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0144,0.1468,313.15,101,1.50238,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0198,0.0976,313.15,101,1.50199,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0224,0.0224,313.15,101,1.50147,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0224,0.1177,313.15,101,1.50162,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0224,0.1642,313.15,101,1.50198,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0224,0.2166,313.15,101,1.50212,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
sjDWN,0.0255,0.047,313.15,101,1.50168,Gonzalez et al. (2009b),Refractive index,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,
