setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
goNye,293.15,0.75,101.3,1.54256,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,293.15,1.5,101.3,1.52347,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,298.15,0.75,101.3,1.54077,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,298.15,1.5,101.3,1.52192,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,303.15,0.75,101.3,1.53907,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,303.15,1.5,101.3,1.52035,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,308.15,0.75,101.3,1.53737,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,308.15,1.5,101.3,1.51881,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,313.15,0.75,101.3,1.53568,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,313.15,1.5,101.3,1.51727,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,318.15,0.75,101.3,1.53406,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,318.15,1.5,101.3,1.51576,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,323.15,0.75,101.3,1.53245,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,323.15,1.5,101.3,1.51425,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,328.15,0.75,101.3,1.53084,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,328.15,1.5,101.3,1.51279,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,333.15,0.75,101.3,1.52924,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
goNye,333.15,1.5,101.3,1.51129,Kianpour et al. (2022),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAiNkE,O=C1c2ccccc2C(=O)C1(O)O,Ninhydrin,,,,
