setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xUfgN,298.15,0,101.3,1.4003,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.0515,101.3,1.4031,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.102,101.3,1.4052,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.1502,101.3,1.4067,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.21,101.3,1.408,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.3051,101.3,1.4094,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.3976,101.3,1.4101,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.5036,101.3,1.4107,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.6063,101.3,1.4111,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
xUfgN,298.15,0.701,101.3,1.4115,Srinivasa Reddy et al. (2016a),Refractive index,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,
