setid,Mole fraction of tetrabutylammonium hydrogen sulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SvbLS,0.333,293.15,100,1.46733,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,298.15,100,1.46598,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,303.15,100,1.46456,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,308.15,100,1.46318,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,313.15,100,1.46175,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,318.15,100,1.46034,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,323.15,100,1.45893,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,328.15,100,1.45782,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.333,333.15,100,1.45616,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,293.15,100,1.46334,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,298.15,100,1.46189,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,303.15,100,1.46039,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,308.15,100,1.45892,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,313.15,100,1.45743,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,318.15,100,1.45595,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,323.15,100,1.45446,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,328.15,100,1.45296,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
SvbLS,0.5,333.15,100,1.45152,Omar and Sadeghi (2022),Refractive index,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AASILr,O=C(O)CCl,chloroethanoic acid,,,,
