setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cJABs,0.2868,293.15,100.7,1.42081,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,298.15,100.7,1.41878,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,303.15,100.7,1.41707,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,308.15,100.7,1.41536,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,313.15,100.7,1.41365,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,318.15,100.7,1.41194,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.2868,323.15,100.7,1.41023,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,293.15,100.7,1.42058,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,298.15,100.7,1.41884,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
cJABs,0.4134,303.15,100.7,1.4171,Vaid et al. (2015a),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
