setid,Mole fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QzBQT,0.051,101,298.15,1.47094,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.1022,101,298.15,1.47076,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.2136,101,298.15,1.46988,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.305,101,298.15,1.46895,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.4024,101,298.15,1.46802,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.5019,101,298.15,1.46563,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.5976,101,298.15,1.46367,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.6989,101,298.15,1.459,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.7998,101,298.15,1.45104,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.9003,101,298.15,1.44331,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
QzBQT,0.9499,101,298.15,1.43816,Hwang et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,,
