setid,"Temperature, K",Mole fraction of 1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qhwuY,288.15,0,101,1.4792,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.1003,101,1.4766,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.2,101,1.4742,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.2997,101,1.4718,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.3997,101,1.4695,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.4998,101,1.4671,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.5999,101,1.4647,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.7001,101,1.4621,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.8109,101,1.4588,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,0.8998,101,1.4558,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,288.15,1,101,1.452,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0,101,1.4773,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.1003,101,1.4748,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.2,101,1.4725,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.2997,101,1.4702,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.3997,101,1.4681,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.4998,101,1.4659,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.5999,101,1.4635,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.7001,101,1.4609,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.8109,101,1.4577,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,0.8998,101,1.4548,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
qhwuY,293.15,1,101,1.451,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,,
