setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fKBFR,298.15,0,101,1.40545,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.1036,101,1.40893,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.1905,101,1.41014,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.2965,101,1.41053,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.3882,101,1.41044,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.489,101,1.41018,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.5889,101,1.40988,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.7017,101,1.40954,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.7928,101,1.40928,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,0.9071,101,1.40903,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,298.15,1,101,1.40885,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0,101,1.40421,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.1036,101,1.40775,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.1905,101,1.409,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.2965,101,1.40937,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.3882,101,1.40926,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.489,101,1.40897,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.5889,101,1.40863,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.7017,101,1.40823,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.7928,101,1.40798,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,0.9071,101,1.40767,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,303.15,1,101,1.40746,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,308.15,0,101,1.40291,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,308.15,0.1036,101,1.40657,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,308.15,0.1905,101,1.40784,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
fKBFR,308.15,0.2965,101,1.40821,Krishna et al. (2017),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AARRPu,CCOCCO,2-ethoxyethan-1-ol,,,,
